a can, 1
a plane, 2
rebel territories, 8
eastern Ukraine, 321
the US, 388
200.000 troops, 6
my grandparents, 2
significant compromise, 1
the ceasefire, 2
190.000 troops, 6
the border, 125
@Jgregoryy @anwuwbahwuavaia, 1
this conversation, 2
your country, 11
the past, 26
A take, 1
a left, 1
@shapolicrebecca @olgatokariuk, 1
Most people, 5
favour Ukraine, 1
the area, 11
the support, 7
new front, 1
information war, 1
the fact, 45
Minsk II, 4
Cyber attacks, 1
Normal People, 1
Russian speakers, 10
Chinese China, 1
Downing Street, 3
military action, 10
real time, 5
gt;The Lion, 1
a mistake, 10
a lot, 111
the independence, 142
Multiple leaders, 1
the recognition, 17
a violation, 21
fake news, 18
its border, 10
the ground, 44
the Ukraine, 445
independent republics, 10
Ukraine/ Russia, 1
zero drama, 1
the rebels, 4
legitimate grievances, 1
the government, 26
an invasion, 145
a country, 67
the LPR, 7
Ukrainian border, 4
a reporter, 2
The Hill, 3
the radio, 1
gas prices, 9
an answer, 5
higher prices, 1
@niboce @Reuters, 1
this straight, 4
the U.S./Pres, 1
President Putin, 39
his propaganda, 1
the countries, 5
that decision, 1
not him, 1
a war, 184
the Ukrainians, 17
the Russians, 76
No war, 7
no war, 24
Eastern Europe, 33
Nuclear War, 1
US stocks, 3
investors brace, 1
new warnings, 1
imminent invasion, 5
The acknowledgment, 1
the RIGHT, 1
the Separatist, 2
our houses, 1
our children, 3
even Hungary, 1
1914 attack, 1
the situation, 93
the focus, 5
US coordination, 1
the moment, 33
a source, 3
a pawn, 8
Hong Kong, 7
all eyes, 8
his envoy, 6
Ukrainian president, 5
action |, 2
Ukraine |, 6
The Guardian, 2
the lifting, 1
Covid-19 restrictions, 1
Ukrainian separatists, 2
mutual cooperation, 1
no right, 16
the sending, 1
no one, 60
both parties, 3
some sacrifices, 1
more uncertainty, 1
Fox correspondent, 2
a bit, 5
the NHS, 2
this tweet, 11
Roni Size, 1
the consequences, 13
the dude, 2
my calls, 1
some cybercosts, 1
Ukraine cybercrisis, 1
cyberenergy costs, 1
the West, 222
Russian orbit, 1
Russian passports, 1
800.000 Ukrainians, 1
a pretext, 20
a #, 61
my tweet, 3
no means, 3
the rest, 103
Moscow sanctions, 1
the end, 56
my mind, 11
diplomatic relations, 2
any hostility, 1
an excuse, 29
the people, 209
my thoughts, 2
@ianbremmer Crimea, 1
the population, 12
@muranofiction @SenatorRounds, 1
my husband, 3
grave danger, 2
religious minorities, 1
this guy, 12
the USA, 64
that end, 1
the UK, 38
the shattering, 1
the credibility, 2
a victory, 3
this territory, 4
new strains, 1
President Biden, 77
the room, 9
a rerun, 1
Air France, 12
https://t.co/fGRleIIgEC https://t.co/7gtfiTqn2Z, 1
The Ukraine, 22
his troops, 24
no symptoms, 1
ASYMPTOMATIC WAR, 1
the borders, 27
heavy equipment, 2
anti Semitic, 1
the threat, 39
our MP, 1
🇦 https://t.co/vuKOHEORSg, 1
a shade, 1
No Prospects, 1
Peace Plan, 1
Conflict https://t.co/xwq6wjkMIj, 1
@jessicacadams @marwilliamson, 1
the similarities, 1
Ukraine 😳, 1
VP Harris, 16
his mind, 35
Russian media, 9
👇 https://t.co/Dc43PhABMf, 1
Market Giants, 2
The Maidan, 1
Independence Square, 1
the heart, 5
the U.S., 73
Ukraine Update, 2
France Pushes, 5
a summit, 77
the crisis, 39
The talks, 3
its neighbour, 3
Donald Trump, 17
the world, 258
the lapdog, 1
The Baltics, 6
the Balkans, 10
both parents, 1
Any invasion, 1
all Putin, 6
Tom Cotton, 1
the time, 48
Ukraine https://t.co/00SaE1Xshm, 1
a village, 3
a continent, 1
the invasion, 70
breakaway republics, 2
this action, 2
the timeline, 2
our chests, 1
UK Warns, 1
top officials, 8
The meeting, 11
Western fears, 3
any moment, 9
Associated Press, 1
the Communists, 1
Catholic Spain, 1
the side, 11
the absence, 5
any attempts, 1
Great Britain, 6
Northern Ireland, 5
the event, 16
a situation, 11
a question, 3
these commitments, 2
https://t.co/eakMFYiYBc https://t.co/OokTMXlGNv, 1
some kind, 8
magical power, 1
some costs, 5
Ukraine crisis, 97
energy costs, 6
No wonder, 2
War Therapy, 1
Mr. Putin, 11
War Imminent, 1
our President, 5
his palling, 1
Dumb comment, 1
existing groups, 1
the places, 2
the nation, 22
home life, 1
my life, 7
the meetings, 1
The NHS, 1
100 surface, 1
air missiles, 1
a world, 12
Trace system, 1
@KonstantinKisin Fair, 1
the possibility, 17
Eastern Ukraine, 132
frightened people, 1
@BullandBaird Futures, 1
@RackhamJanet @AlmaShawn, 1
every country, 7
that price, 1
a clusterfuck, 1
Biblical proportions, 1
that route, 2
Japanese PM, 2
Ukraine tensions, 32
those people, 6
our problem, 8
my error, 1
Meant Ukraine, 1
your head, 5
the gym, 2
the hours, 1
any implications, 1
Russian athletes, 1
Sos Clinton, 1
subsidy cuts, 1
record prices, 1
Russian forces, 59
total sense, 1
foreign powers, 13
this warning, 1
Words matter, 1
🇦 https://t.co/7IlXIKmdff, 1
Whoa Ukraine, 1
@POTUS Lets, 1
Yesterday Chechnya, 1
tomorrow Ukraine, 1
nazi battalion, 1
their army, 4
the idea, 19
that way, 4
All this, 3
THE INTELLIGENCE, 1
good luck, 2
My country, 1
the price, 18
@ScottAdamsSays Ukraine, 2
Now what, 2
NATO troops, 7
Russian troops, 139
international airspace, 1
the nukes, 4
American helicopters, 1
the regions, 19
western Ukraine, 9
the news, 42
